Year,State,Export Type,Exports (in million AUD),
2017,New South Wales,Unprocessed food,2490,
2017,New South Wales,Processed food,4440,
2017,New South Wales,Minerals,2795,
2017,New South Wales,Fuels,16549,
2017,New South Wales,Other primary,1827,
2017,New South Wales,STM (excl Nickel),3058,
2017,New South Wales,ETM,7901,
2017,New South Wales,Other,5021,
2017,Victoria,Unprocessed food,3258,
2017,Victoria,Processed food,6189,
2017,Victoria,Minerals,458,
2017,Victoria,Fuels,998,
2017,Victoria,Other primary,2917,
2017,Victoria,STM (excl Nickel),1508,
2017,Victoria,ETM,7737,
2017,Victoria,Other,1664,
2017,Queensland,Unprocessed food,2728,
2017,Queensland,Processed food,5736,
2017,Queensland,Minerals,2927,
2017,Queensland,Fuels,29267,
2017,Queensland,Other primary,1351,
2017,Queensland,STM (excl Nickel),4444,
2017,Queensland,ETM,2756,
2017,Queensland,Other,17277,
2017,South Australia,Unprocessed food,2525,
2017,South Australia,Processed food,3042,
2017,South Australia,Minerals,1338,
2017,South Australia,Fuels,183,
2017,South Australia,Other primary,335,
2017,South Australia,STM (excl Nickel),1847,
2017,South Australia,ETM,1094,
2017,South Australia,Other,1068,
2017,Western Australia,Unprocessed food,5260,
2017,Western Australia,Processed food,1071,
2017,Western Australia,Minerals,66387,
2017,Western Australia,Fuels,4956,
2017,Western Australia,Other primary,780,
2017,Western Australia,STM (excl Nickel),1333,
2017,Western Australia,ETM,2179,
2017,Western Australia,Other,38434,
2017,Northern Territory,Unprocessed food,439,
2017,Northern Territory,Processed food,64,
2017,Northern Territory,Minerals,763,
2017,Northern Territory,Fuels,214,
2017,Northern Territory,Other primary,21,
2017,Northern Territory,STM (excl Nickel),81,
2017,Northern Territory,ETM,101,
2017,Northern Territory,Other,3296,
2017,Australian Capital Territory,Unprocessed food,0,
2017,Australian Capital Territory,Processed food,0,
2017,Australian Capital Territory,Minerals,0,
2017,Australian Capital Territory,Fuels,0,
2017,Australian Capital Territory,Other primary,0,
2017,Australian Capital Territory,STM (excl Nickel),0,
2017,Australian Capital Territory,ETM,0,
2017,Australian Capital Territory,Other,20,
2017,Tasmania,Unprocessed food,209,
2017,Tasmania,Processed food,460,
2017,Tasmania,Minerals,421,
2017,Tasmania,Fuels,0,
2017,Tasmania,Other primary,61,
2017,Tasmania,STM (excl Nickel),1159,
2017,Tasmania,ETM,106,
2017,Tasmania,Other,343,
2018,New South Wales,Unprocessed food,1460,
2018,New South Wales,Processed food,5106,
2018,New South Wales,Minerals,3434,
2018,New South Wales,Fuels,18385,
2018,New South Wales,Other primary,1524,
2018,New South Wales,STM (excl Nickel),3435,
2018,New South Wales,ETM,8441,
2018,New South Wales,Other,5813,
2018,Victoria,Unprocessed food,3176,
2018,Victoria,Processed food,7432,
2018,Victoria,Minerals,529,
2018,Victoria,Fuels,1026,
2018,Victoria,Other primary,3134,
2018,Victoria,STM (excl Nickel),1807,
2018,Victoria,ETM,7728,
2018,Victoria,Other,1980,
2018,Queensland,Unprocessed food,1744,
2018,Queensland,Processed food,6168,
2018,Queensland,Minerals,3551,
2018,Queensland,Fuels,33267,
2018,Queensland,Other primary,808,
2018,Queensland,STM (excl Nickel),4382,
2018,Queensland,ETM,3173,
2018,Queensland,Other,21170,
2018,South Australia,Unprocessed food,2619,
2018,South Australia,Processed food,3357,
2018,South Australia,Minerals,1430,
2018,South Australia,Fuels,521,
2018,South Australia,Other primary,347,
2018,South Australia,STM (excl Nickel),1763,
2018,South Australia,ETM,970,
2018,South Australia,Other,1038,
2018,Western Australia,Unprocessed food,4605,
2018,Western Australia,Processed food,1158,
2018,Western Australia,Minerals,66423,
2018,Western Australia,Fuels,5106,
2018,Western Australia,Other primary,932,
2018,Western Australia,STM (excl Nickel),1459,
2018,Western Australia,ETM,2505,
2018,Western Australia,Other,47510,
2018,Northern Territory,Unprocessed food,454,
2018,Northern Territory,Processed food,58,
2018,Northern Territory,Minerals,1117,
2018,Northern Territory,Fuels,176,
2018,Northern Territory,Other primary,25,
2018,Northern Territory,STM (excl Nickel),46,
2018,Northern Territory,ETM,46,
2018,Northern Territory,Other,3799,
2018,Australian Capital Territory,Unprocessed food,0,
2018,Australian Capital Territory,Processed food,0,
2018,Australian Capital Territory,Minerals,0,
2018,Australian Capital Territory,Fuels,,
2018,Australian Capital Territory,Other primary,0,
2018,Australian Capital Territory,STM (excl Nickel),0,
2018,Australian Capital Territory,ETM,0,
2018,Australian Capital Territory,Other,21,
2018,Tasmania,Unprocessed food,307,https://www.dfat.gov.au/sites/default/files/australia-state-territory-2018-19.pdf
2018,Tasmania,Processed food,480,
2018,Tasmania,Minerals,533,
2018,Tasmania,Fuels,4,
2018,Tasmania,Other primary,112,
2018,Tasmania,STM (excl Nickel),1679,
2018,Tasmania,ETM,144,
2018,Tasmania,Other,415,
2019,New South Wales,Unprocessed food,801,
2019,New South Wales,Processed food,5332,
2019,New South Wales,Minerals,4104,
2019,New South Wales,Fuels,21669,
2019,New South Wales,Other primary,1305,
2019,New South Wales,STM (excl Nickel),3737,
2019,New South Wales,ETM,9682,
2019,New South Wales,Other,7189,
2019,Victoria,Unprocessed food,2873,
2019,Victoria,Processed food,8002,
2019,Victoria,Minerals,545,
2019,Victoria,Fuels,1045,
2019,Victoria,Other primary,2977,
2019,Victoria,STM (excl Nickel),2023,
2019,Victoria,ETM,8994,
2019,Victoria,Other,1690,
2019,Queensland,Unprocessed food,1224,
2019,Queensland,Processed food,6953,
2019,Queensland,Minerals,4164,
2019,Queensland,Fuels,38097,
2019,Queensland,Other primary,559,
2019,Queensland,STM (excl Nickel),4819,
2019,Queensland,ETM,3620,
2019,Queensland,Other,27858,
2019,South Australia,Unprocessed food,1750,
2019,South Australia,Processed food,3335,
2019,South Australia,Minerals,1377,
2019,South Australia,Fuels,642,
2019,South Australia,Other primary,365,
2019,South Australia,STM (excl Nickel),2476,
2019,South Australia,ETM,1061,
2019,South Australia,Other,692,
2019,Western Australia,Unprocessed food,6159,
2019,Western Australia,Processed food,1351,
2019,Western Australia,Minerals,82220,
2019,Western Australia,Fuels,5298,
2019,Western Australia,Other primary,856,
2019,Western Australia,STM (excl Nickel),1426,
2019,Western Australia,ETM,2782,
2019,Western Australia,Other,61778,
2019,Northern Territory,Unprocessed food,574,
2019,Northern Territory,Processed food,11,
2019,Northern Territory,Minerals,1017,
2019,Northern Territory,Fuels,193,
2019,Northern Territory,Other primary,28,
2019,Northern Territory,STM (excl Nickel),28,
2019,Northern Territory,ETM,64,
2019,Northern Territory,Other,7518,
2019,Australian Capital Territory,Unprocessed food,0,
2019,Australian Capital Territory,Processed food,0,
2019,Australian Capital Territory,Minerals,0,
2019,Australian Capital Territory,Fuels,0,
2019,Australian Capital Territory,Other primary,0,
2019,Australian Capital Territory,STM (excl Nickel),0,
2019,Australian Capital Territory,ETM,5,
2019,Australian Capital Territory,Other,10,
2019,Tasmania,Unprocessed food,286,
2019,Tasmania,Processed food,521,
2019,Tasmania,Minerals,563,
2019,Tasmania,Fuels,5,
2019,Tasmania,Other primary,140,
2019,Tasmania,STM (excl Nickel),1541,
2019,Tasmania,ETM,166,
2019,Tasmania,Other,435,
